,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
recIlGUXAQkHdi2Zk,ts,Surface Temperature,surface_temperature,K,90c49fce92dc1f21647dad07d1342843,"CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFsubhr,CORDEX_6h,CORDEX_day,PMIP3_Aclim,PMIP3_Amon,SPECS_Amon",1,Existing physical parameter,"['rec5cxmVCkkjjIOYY', 'recy4aAPTbujI70jY', 'reca5L8OFm0kQQuwy', 'rec3luxrHHs6lJGtu', 'recAK5xuYngJQqJkS', 'recIW79oscZ60h5sb', 'rectkDHJrRLRGBrBw', 'recDtQPamk8mHhG0M', 'rec52oWQEMRAriSfI']","Temperature of the lower boundary of the atmosphere
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIltG7cUcmt3mos,nh4,Dissolved Ammonium Concentration,mole_concentration_of_ammonium_in_sea_water,mol m-3,5a887812bc95f4c8377af5051a2566fe,OMIP,1,Existing physical parameter,"['recmZNRU8eTOFpEiD', 'recI6A2TqGApjS0yy']","Mole concentration means moles (amount of substance) per unit volume and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIsWBWHAlxiFbyt,opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,W m-2,8530ec1d1281da71f660df7c61571e38,OMIP_Oyr,1,Existing physical parameter,"['recfCnwRtaJ2JcHpE', 'recHgJXBlmRiAqDKy']","Tendency of heat content for a grid cell from parameterized eddy advection (any form of eddy advection). Reported only for models that use potential temperature as prognostic field.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIy1PoqKaGRJgkq,rhc13,Carbon-13 Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_heterotrophic_respiration,kg m-2 s-1,590f1f68-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recQXEm4Au5Kl0Vi8'],"Heterotrophic respiration is respiration by heterotrophs (""consumers""), which are organisms (including animals and decomposers) that consume other organisms or dead organic material, rather than synthesising organic material from inorganic precursors using energy from the environment (especially sunlight) as autotrophs (""producers"") do. Heterotrophic respiration goes on within both the soil and litter pools.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJ1DeR560b2UsxQ,mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m,d4ee9e5a-b00f-11e6-a1f0-ac72891c3257,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recigx2DPDLyAufOh'],"Sigma T is potential density referenced to ocean surface.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJ24JAYqwy3vn2P,chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,98fab6148c36b25a158062a11c0c5965,"CMIP5,C4MIP,CFMIP,HighResMIP,LS3MIP",1,Existing physical parameter,"['recOb92TtUzPgZBl3', 'recq5WP7OItrZ24Vd']","Chlorophyll from additional phytoplankton component concentrations alone
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJ4ernRBujlBDJb,chlcalcos,Surface Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,c96e2752-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recr2Vf5qObKZaZnb'],"chlorophyll concentration from the calcite-producing phytoplankton component alone
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJ4lRxfOnNRXFAR,sci,Fraction of Time Shallow Convection Occurs,shallow_convection_time_fraction,1,8de0f30b91b15720398fc10fd712a182,"CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFsubhr,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,"['recdpOfUce63fETvB', 'rec0DQ5ondumwI3du', 'recH4dB26b06ftOwN']","Fraction of time that shallow convection occurs in the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJ4v57UFExfjfuf,fLitterSoil,Total Carbon Mass Flux from Litter to Soil,carbon_mass_flux_into_soil_from_litter,kg m-2 s-1,45f5477848196383f1ac8039e0dcfcab,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recUwtjhGY4dwMmLu'],"Carbon mass flux per unit area into soil from litter (dead plant material in or above the soil).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJDHz0sfenyjA7B,tendlibmassbf,Total Basal Mass Balance Flux,tendency_of_land_ice_mass_due_to_basal_mass_balance,kg s-1,414699d0-4f40-11e6-a814-ac72891c3257,CMIP6 endorsement [ISMIP6],1,Existing physical parameter,"['recaaHQI2oH9CaL7j', 'rec2pn6l5q0QjTnLl']","The total basal mass balance flux over land ice is a spatial integration of the basal mass balance flux
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJGU7ASr3qmB5JF,zhalf,Altitude of Model Half-Levels,height_above_reference_ellipsoid,m,211dfdaa-b89b-11e6-a189-5404a60d96b5,CMIP5,1,Existing physical parameter,['recNzByMo0MTDBe1b'],"Height of model half-levels above a reference ellipsoid. A reference ellipsoid is a mathematical figure that approximates the geoid. The geoid is a surface of constant geopotential with which mean sea level would coincide if the ocean were at rest. The ellipsoid is an approximation because the geoid is an irregular shape. A number of reference ellipsoids are defined for use in the field of geodesy. To specify which reference ellipsoid is being used, a grid\_mapping variable should be attached to the data variable as described in Chapter 5.6 of the CF Convention.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJH2umTYSbwtwG9,dems,Stratiform Cloud Emissivity,stratiform_cloud_longwave_emissivity,1,04666369846efb977098a42584d9bd42,CMIP5_CF3hr,1,Existing physical parameter,['recmDjdpZ758wDrPB'],"This is the in-cloud emissivity obtained by considering only the cloudy portion of the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJH4Xvdd0OooW1p,epfz,Upward Component of the Eliassen-Palm Flux,upward_eliassen_palm_flux_in_air,m3 s-2,85631e0f7a8fdcb10737a525f4134181,"CCMI1_daily,CCMI1_monthly",1,Existing physical parameter,"['recYlirtDRICeRmqS', 'recgi14AJR0jE1Ek9']","Transformed Eulerian Mean Diagnostics Meridional component Fz of the Eliassen-Palm (EP) flux (Fy, Fz) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available). Please use the definitions given by equation 3.5.3b of Andrews, Holton and Leovy text book, but scaled by density to have units m3 s-2.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['zm'],,,,,,,,,,,
recJJSJnBBohzs2er,phycdiat,carbon concentration of diatoms,,mol m-3,,,1,New,['recURcNZyCtlkMhkx'],,,2024-09-22T16:51:02.000Z,Anonymous,,['Ocean & sea-ice'],True,Impacts & Adaptation,damaris.zurell@uni-potsdam.de,"Requested by Fish-MIP as part of ISIMIP. Needed for model intercomparisons for marine biodiversity and ecosystems.
",,,NA,NA,,,,,,,,,
recJMKUt96nZH4VCo,rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,6e7b9f984d3bba15daccaaa18039a85d,CMIP5_3hr,1,Existing physical parameter,"['rec2opugnU8EW70bS', 'recoVUlQhPsNxiq5q', 'recONt8rF4JNmcPOG', 'recLQ18xfXkeQqfyP', 'rec1EmFpitg9WnLwR', 'recOJDWt841or7uic', 'recrVoq8ZwKwQkEo8', 'recG9wr5dt75gRpGa', 'recgMIWnAkz7aMxiE']","Surface solar irradiance for UV calculations.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJMUnit2WUBfUzz,rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,d0a35d5c99a0aa93ad4069cfe83bf748,"CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFday,CMIP5_CFsubhr,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,"['recTBk0GSovP7jnSC', 'recyE1flbDAMlmdzH', 'recOZdQx2Mpnm77qL', 'recQaBprAogCTXORr', 'recT7yTfg4ade7NIS']","Surface solar irradiance clear sky for UV calculations
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJO49wmOzWXJC43,emilnox,Layer-Integrated Lightning Production of NOx,tendency_of_atmosphere_moles_of_nox_expressed_as_nitrogen,mol s-1,534001c2fd879bfda1d9b66d0a61144c,CCMI1_monthly,1,Existing physical parameter,['recAjTdauHcI4fnSF'],"Integrate the NOx production for lightning over model layer. proposed name: tendency\_of\_atmosphere\_mass\_content\_of\_nox\_from\_lightning
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJPWSbZszDQCyhg,od550csaer,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,1,c9a72dd6-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [AerChemMIP],1,Existing physical parameter,['recrvyABwQeRHuXcx'],"AOD from the ambient aerosols in clear skies if od550aer is for all-sky (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 550nm""
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJSulhZugTWaoll,fDeforestToAtmos,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,591324be-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recgpzaeoXn6ru6d4'],"When land use change results in deforestation of natural vegetation (trees or grasslands) then natural biomass is removed. The treatment of deforested biomass differs significantly across models, but it should be straight-forward to compare deforested biomass across models.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJTZ6tCdSS4nvOH,phydiazos,Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,c96cefb8-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recrNaUYykO0UVy8i'],"carbon concentration from the diazotrophic phytoplankton component alone
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJVxiwvWr775oY8,sfo3max,Daily Maximum O3 Volume Mixing Ratio in Lowest Model Layer,mole_fraction_of_ozone_in_air,mol mol-1,0656a67a-b896-11e6-a189-5404a60d96b5,AerChemMIP endorsement (1),1,Existing physical parameter,['rectyynrxU8T3Slj4'],"Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['nsrf'],,,,,,,,,,,
recJWece5DvYRiUvJ,sandfrac,Sand Fraction,volume_fraction_of_sand_in_soil,1,7124a324-c7b6-11e6-bb2a-ac72891c3257,CMIP6 [LS3MIP],1,Existing physical parameter,['reclveJBdFOuecnBp'],"""Volume fraction"" is used in the construction volume\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJXyhl7OKdwvnLj,tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,K,cce3dd39c138bf3c4d713263cc2e6cff,CCMI1_daily,1,Existing physical parameter,"['recxjd8xNtM7ybF5D', 'recwkZXaddFD9QkzJ']","minimum near-surface (usually, 2 meter) air temperature (add cell\_method attribute ""time: min"")
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,"['nsrf', 'min']",,,,,,,,,,,
recJbeKJW4Eed2uYD,libmassbffl,Basal Specific Mass Balance Flux of Floating Ice Shelf,land_ice_basal_specific_mass_balance_flux,kg m-2 s-1,41460524-4f40-11e6-a814-ac72891c3257,CMIP6 endorsement [ISMIP6],1,Existing physical parameter,"['rec95qRE8zvLcol1F', 'recTDYAFuMtHZhzlh', 'recXfktu1H0zteWHc', 'recaEhJLo0r91578Y']","Specific mass balance means the net rate at which ice is added per unit area at the land ice base.  A negative value means loss of ice. Computed as the total basal mass balance on the floating land ice (floating ice shelf) portion of the grid cell divided by floating land ice (floating ice shelf) area in the grid cell. Cell\_methods: area: mean where floating\_ice\_shelf
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJcuscT1OfXBDCM,treeFracBdlEvg,Broadleaf Evergreen Tree Area Percentage,area_fraction,%,5914dbb0-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recjK5vfsKRJbSOVu'],"This is the percentage of the entire grid cell that is covered by broadleaf evergreen trees.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJdZhUziOYzWrMW,tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,tendency_of_air_temperature_due_to_longwave_heating,K s-1,5917483c-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [HighResMIP],1,Existing physical parameter,"['rec0rZCpNr38H5CBN', 'rechE4oaMOVC2Eacb', 'reclxYbTGjvWbhtvk', 'recYUE2IDF8F9I5wW', 'rec4dsbITpOvgdc28']","Tendency of air temperature due to longwave radiative heating
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJjWEDvznta3pXz,rsucsafbnd,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,ead5a730-a0de-11e6-bc63-ac72891c3257,CMIP6 endorsement [RFMIP],1,Existing physical parameter,['recw9AAMDr2NJ3xli'],"Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recJqqa0df8pZhyWM,tatp,Tropopause Air Temperature,tropopause_air_temperature,K,cff597224d260da1a1c769aab1bbea9d,CCMI1_monthly,1,Existing physical parameter,['recJLrw6OqSerFsgp'],"2D monthly mean thermal tropopause calculated using WMO tropopause definition on 3d temperature
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recK5CueFWSzv2B3y,swtoaasdust,All-Sky Shortwave Flux Due to Dust at Toa,toa_instantaneous_shortwave_forcing,W m-2,4cabf9607859a83bcb3bc00fa8d0698c,CCMI1_monthly,1,Existing physical parameter,['recwInkjXRizpWvJo'],"Instantaneous forcing is the radiative flux change caused instantaneously by an imposed change in radiative forcing agent (greenhouse gases, aerosol, solar radiation, etc.).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recK5PprdEhgKH1FD,sialb,Albedo of sea-ice covered surface,surface_albedo,1,,,1,New,['recFzs3jEBXR01Tz5'],,0 checked out of 1,2024-09-25T13:56:14.000Z,Anonymous,,['Ocean & sea-ice'],True,Martin Vancoppenolle,martin.vancoppenolle@locean.ipsl.fr,"Surface albedo is a GCOS variable for which comparison is useful. It cannot be retrieved with currently available monthly fields on the sea ice grid.
",,,,,,,,,,,,,
recK7QOrj9b1eBwBM,sos,Sea Surface Salinity,sea_surface_salinity,1,74a9891bcab2667dbcb66574c6370c86,OMIP.day,1,Existing physical parameter,"['recwHNfliy9iS3oxg', 'recqbBMYAFa2uEixi', 'recbUyw5zW0zK28vt']","Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recKBefvekDMDETjj,fg14co2abio,Surface Downward Mass Flux of Carbon-14 as Abiotic 14CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,kg m-2 s-1,f36046ab9a8a24ce4d7431e2defd9cf6,OMIP_Omon,1,Existing physical parameter,"['recLsldQBWp6kUutw', 'recqofsnZHXrKMmSJ']","Gas exchange flux of abiotic 14CO2 (positive into ocean)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recKF1m7SKS4jslis,sisnthick,Snow Thickness,surface_snow_thickness,m,5913c266-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['recpdXNuhO8bWb3qM', 'recF2FAdhDupUs7Pv']","Actual thickness of snow (snow volume divided by snow-covered area)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recKGL0l6nYIBkeJE,sitempsnic,Temperature at Snow-Ice Interface,sea_ice_surface_temperature,K,590e34fe-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['recXd9AMK90VtFkTn', 'rec0DzzViZwPS0qW7']","Report surface temperature of ice where snow thickness is zero
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recKIaxFlG6hmzhp4,clis,Mass Fraction of Stratiform Cloud Ice,mass_fraction_of_stratiform_cloud_ice_in_air,1,4dbe7bd9b38439125b341edba15aa66a,CMIP5_CFmon,1,Existing physical parameter,"['rec9BKB2FOUOdT78X', 'recWyU6888MuanAKZ']","Calculated as the mass of stratiform cloud ice  in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recKKvoBnvRLce0JA,dryh2,dry deposition rate of H2,tendency_of_atmosphere_mass_content_of_molecular_hydrogen_due_to_dry_deposition,kg m-2 s-1,,,1,Under review,['recmxzs5SoCJkvWbo'],,0 checked out of 1,2024-08-29T11:46:10.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To understand the budget of molecular hydrogen
",,,,,,,,,,,,,
recKMblHDIyJMuiun,seawdir,Sea Wave Direction,,degree,,,1,New,,,,2024-09-16T15:48:52.000Z,Anonymous,,['Ocean & sea-ice'],True,André Lanfer,andre.lanfer@inpe.br,"Inclusion of the Wave model's output
",,,ocean_surface_wave_direction,https://github.com/cf-convention/vocabularies/issues/226,,,,,,,,,
recKWTYNrrrPCEvVX,sidmassmeltlat,Sea-Ice Mass Change Through Lateral Melting,tendency_of_sea_ice_amount_due_to_lateral_melting,kg m-2 s-1,590ea5c4-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['recMnyXLEzxUMBBEN'],"The rate of change of sea ice mass through lateral melting divided by grid-cell area (report 0 if not explicitly calculated thermodynamically)
",0 checked out of 1,2024-07-12T09:06:25.000Z,dr-oceans,,,,,,,,['si'],,,,,Change name and title for consistency with other sea ice mass change terms,True,,,,,
recKfbKHPyWmTx4GH,sistressmax,Maximum Shear Stress in Sea Ice,maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_stress,N m-1,590ea16e-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['recdPSLqVIFzm7fuE'],"Maximum shear stress in sea ice (second stress invariant)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Automations,,,,,,,,['si'],,,,,Inconsistency in names of sea ice stress terms,True,,,,,
